ds,unique_id,y
1:23,LaneA3,19
1:23,LaneA17,22
1:24,LaneA21,64
1:24,LaneA67,79
1:24,LaneA3,47
1:24,LaneA17,30
1:25,LaneA21,69
1:25,LaneA67,6
1:25,LaneA3,52
1:25,LaneA17,57
1:26,LaneA21,95
1:26,LaneA67,38
1:26,LaneA3,13
1:26,LaneA17,32
1:27,LaneA21,98
1:27,LaneA67,49
1:27,LaneA3,37
1:27,LaneA17,20
1:28,LaneA21,94
1:28,LaneA67,64
1:28,LaneA3,49
1:28,LaneA17,18
1:29,LaneA21,63
1:29,LaneA67,49
1:29,LaneA3,48
1:29,LaneA17,22
1:30,LaneA21,81
1:30,LaneA67,53
1:30,LaneA3,53
1:30,LaneA17,20
1:31,LaneA21,75
1:31,LaneA67,0
1:31,LaneA3,47
1:31,LaneA17,12
1:32,LaneA21,53
1:32,LaneA67,47
1:32,LaneA3,42
1:32,LaneA17,3
1:33,LaneA21,62
1:33,LaneA67,53
1:33,LaneA3,18
1:33,LaneA17,46
1:34,LaneA21,63
1:34,LaneA67,80
1:34,LaneA3,35
1:34,LaneA17,46
1:35,LaneA21,66
1:35,LaneA67,58
1:35,LaneA3,40
1:35,LaneA17,31
1:36,LaneA21,74
1:36,LaneA67,81
1:36,LaneA3,41
1:36,LaneA17,19
1:37,LaneA21,61
1:37,LaneA67,52
1:37,LaneA3,36
1:37,LaneA17,12
1:38,LaneA21,72
1:38,LaneA67,53
1:38,LaneA3,32
1:38,LaneA17,13
1:39,LaneA21,57
1:39,LaneA67,79
1:39,LaneA3,35
1:39,LaneA17,13
1:40,LaneA21,70
1:40,LaneA67,70
1:40,LaneA3,38
1:40,LaneA17,18
1:41,LaneA21,66
1:41,LaneA67,75
1:41,LaneA3,54
1:41,LaneA17,51
1:42,LaneA21,79
1:42,LaneA67,56
1:42,LaneA3,49
1:42,LaneA17,40
1:43,LaneA21,92
1:43,LaneA67,64
1:43,LaneA3,43
1:43,LaneA17,21
1:44,LaneA21,92
1:44,LaneA67,34
1:44,LaneA3,61
1:44,LaneA17,2
1:45,LaneA21,90
1:45,LaneA67,45
1:45,LaneA3,66
1:45,LaneA17,7
1:46,LaneA21,57
1:46,LaneA67,57
1:46,LaneA3,32
1:46,LaneA17,12
1:47,LaneA21,50
1:47,LaneA67,54
1:47,LaneA3,35
1:47,LaneA17,28
1:48,LaneA21,48
1:48,LaneA67,73
1:48,LaneA3,37
1:48,LaneA17,43
1:49,LaneA21,30
1:49,LaneA67,54
1:49,LaneA3,31
1:49,LaneA17,11
1:50,LaneA21,47
1:50,LaneA67,29
1:50,LaneA3,55
1:50,LaneA17,20
1:51,LaneA21,14
1:51,LaneA67,62
1:51,LaneA3,56
1:51,LaneA17,17
1:52,LaneA21,20
1:52,LaneA67,45
1:52,LaneA3,55
1:52,LaneA17,12
1:53,LaneA21,43
1:53,LaneA67,67
1:53,LaneA3,54
1:53,LaneA17,35
1:54,LaneA21,45
1:54,LaneA67,40
1:54,LaneA3,70
1:54,LaneA17,18
1:55,LaneA21,42
1:55,LaneA67,41
1:55,LaneA3,39
1:55,LaneA17,14
1:56,LaneA21,44
1:56,LaneA67,45
1:56,LaneA3,11
1:56,LaneA17,29
1:57,LaneA21,57
1:57,LaneA67,40
1:57,LaneA3,41
1:57,LaneA17,40
1:58,LaneA21,45
1:58,LaneA67,55
1:58,LaneA3,29
1:58,LaneA17,37
1:59,LaneA21,52
1:59,LaneA67,42
1:59,LaneA3,46
1:59,LaneA17,38
2:00,LaneA21,64
2:00,LaneA67,62
2:00,LaneA3,60
2:00,LaneA17,54
2:01,LaneA21,48
2:01,LaneA67,53
2:01,LaneA3,54
2:01,LaneA17,34
2:02,LaneA21,58
2:02,LaneA67,41
2:02,LaneA3,21
2:02,LaneA17,15
2:03,LaneA21,85
2:03,LaneA67,75
2:03,LaneA3,7
2:03,LaneA17,9
2:04,LaneA21,43
2:04,LaneA67,52
2:04,LaneA3,37
2:04,LaneA17,5
2:05,LaneA21,59
2:05,LaneA67,62
2:05,LaneA3,46
2:05,LaneA17,17
2:06,LaneA21,49
2:06,LaneA67,37
2:06,LaneA3,66
2:06,LaneA17,12
2:07,LaneA21,67
2:07,LaneA67,41
2:07,LaneA3,26
2:07,LaneA17,35
2:08,LaneA21,90
2:08,LaneA67,59
2:08,LaneA3,31
2:08,LaneA17,8
2:09,LaneA21,82
2:09,LaneA67,68
2:09,LaneA3,39
2:09,LaneA17,36
2:10,LaneA21,92
2:10,LaneA67,23
2:10,LaneA3,34
2:10,LaneA17,24
2:11,LaneA21,99
2:11,LaneA67,26
2:11,LaneA3,29
2:11,LaneA17,16
2:12,LaneA21,75
2:12,LaneA67,66
2:12,LaneA3,41
2:12,LaneA17,30
2:13,LaneA21,72
2:13,LaneA67,55
2:13,LaneA3,34
2:13,LaneA17,3
2:14,LaneA21,54
2:14,LaneA67,60
2:14,LaneA3,36
2:14,LaneA17,2
2:15,LaneA21,73
2:15,LaneA67,68
2:15,LaneA3,46
2:15,LaneA17,30
2:16,LaneA21,57
2:16,LaneA67,55
2:16,LaneA3,6
2:16,LaneA17,30
2:17,LaneA21,63
2:17,LaneA67,18
2:17,LaneA3,31
2:17,LaneA17,32
2:18,LaneA21,23
2:18,LaneA67,3
2:18,LaneA3,22
2:18,LaneA17,12
